Cenário experimental com 3 camadas: Skin_Segmentation_CV_D4-D3

Padrão>> 1 - Calculado: 0.132001642, Desejado: 0.0, Erro: 0.008712217
Padrão>> 2 - Calculado: 0.154879337, Desejado: 0.0, Erro: 0.011993805
Padrão>> 3 - Calculado: 0.971440837, Desejado: 1.0, Erro: 0.000407813
Padrão>> 4 - Calculado: 0.912383397, Desejado: 1.0, Erro: 0.003838335
Padrão>> 5 - Calculado: 0.996199012, Desejado: 1.0, Erro: 0.000007224
Padrão>> 6 - Calculado: 0.081151785, Desejado: 1.0, Erro: 0.422141021
Padrão>> 7 - Calculado: 0.997270813, Desejado: 1.0, Erro: 0.000003724
Padrão>> 8 - Calculado: 0.756762016, Desejado: 1.0, Erro: 0.029582358
Padrão>> 9 - Calculado: 0.114414770, Desejado: 0.0, Erro: 0.006545370
Padrão>> 10 - Calculado: 0.101274422, Desejado: 1.0, Erro: 0.403853833
Padrão>> 11 - Calculado: 0.919240056, Desejado: 1.0, Erro: 0.003261084
Padrão>> 12 - Calculado: 0.105175244, Desejado: 0.0, Erro: 0.005530916
Padrão>> 13 - Calculado: 0.891736344, Desejado: 1.0, Erro: 0.005860510
Padrão>> 14 - Calculado: 0.101326252, Desejado: 1.0, Erro: 0.403807253
Padrão>> 15 - Calculado: 0.187026287, Desejado: 0.0, Erro: 0.017489416
Padrão>> 16 - Calculado: 0.907491967, Desejado: 1.0, Erro: 0.004278868
Padrão>> 17 - Calculado: 0.253431673, Desejado: 0.0, Erro: 0.032113806
Padrão>> 18 - Calculado: 0.289357672, Desejado: 0.0, Erro: 0.041863931
Padrão>> 19 - Calculado: 0.958739714, Desejado: 1.0, Erro: 0.000851206
Padrão>> 20 - Calculado: 0.125925894, Desejado: 1.0, Erro: 0.382002772
Padrão>> 21 - Calculado: 0.196362301, Desejado: 0.0, Erro: 0.019279077
Padrão>> 22 - Calculado: 0.112057754, Desejado: 0.0, Erro: 0.006278470
Padrão>> 23 - Calculado: 0.139375652, Desejado: 0.0, Erro: 0.009712786
Padrão>> 24 - Calculado: 0.109329888, Desejado: 0.0, Erro: 0.005976512
Padrão>> 25 - Calculado: 0.944815682, Desejado: 1.0, Erro: 0.001522654
Padrão>> 26 - Calculado: 0.110168665, Desejado: 0.0, Erro: 0.006068567
Padrão>> 27 - Calculado: 0.306792263, Desejado: 1.0, Erro: 0.240268483
Padrão>> 28 - Calculado: 0.141029573, Desejado: 0.0, Erro: 0.009944670
Padrão>> 29 - Calculado: 0.198910994, Desejado: 0.0, Erro: 0.019782792
Padrão>> 30 - Calculado: 0.238907863, Desejado: 0.0, Erro: 0.028538484
Padrão>> 31 - Calculado: 0.992615964, Desejado: 1.0, Erro: 0.000027262
Padrão>> 32 - Calculado: 0.141492183, Desejado: 0.0, Erro: 0.010010019
Padrão>> 33 - Calculado: 0.282278264, Desejado: 0.0, Erro: 0.039840509
Padrão>> 34 - Calculado: 0.383413768, Desejado: 1.0, Erro: 0.190089291
Padrão>> 35 - Calculado: 0.197600483, Desejado: 0.0, Erro: 0.019522975
Padrão>> 36 - Calculado: 0.260651152, Desejado: 1.0, Erro: 0.273318360
Padrão>> 37 - Calculado: 0.139105168, Desejado: 0.0, Erro: 0.009675124
Padrão>> 38 - Calculado: 0.168157753, Desejado: 0.0, Erro: 0.014138515
Padrão>> 39 - Calculado: 0.207095404, Desejado: 0.0, Erro: 0.021444253
Padrão>> 40 - Calculado: 0.989764497, Desejado: 1.0, Erro: 0.000052383
Padrão>> 41 - Calculado: 0.108490096, Desejado: 0.0, Erro: 0.005885051
Padrão>> 42 - Calculado: 0.133974554, Desejado: 0.0, Erro: 0.008974591
Padrão>> 43 - Calculado: 0.143941153, Desejado: 0.0, Erro: 0.010359528
Padrão>> 44 - Calculado: 0.195744367, Desejado: 0.0, Erro: 0.019157929
Padrão>> 45 - Calculado: 0.273412417, Desejado: 0.0, Erro: 0.037377175
Padrão>> 46 - Calculado: 0.131371450, Desejado: 0.0, Erro: 0.008629229
Padrão>> 47 - Calculado: 0.936588089, Desejado: 1.0, Erro: 0.002010535
Padrão>> 48 - Calculado: 0.279833319, Desejado: 0.0, Erro: 0.039153343
Padrão>> 49 - Calculado: 0.933907362, Desejado: 1.0, Erro: 0.002184118
Padrão>> 50 - Calculado: 0.232735581, Desejado: 0.0, Erro: 0.027082925
Padrão>> 51 - Calculado: 0.923789289, Desejado: 1.0, Erro: 0.002904036
Padrão>> 52 - Calculado: 0.991375549, Desejado: 1.0, Erro: 0.000037191
Padrão>> 53 - Calculado: 0.121328266, Desejado: 0.0, Erro: 0.007360274
Padrão>> 54 - Calculado: 0.662998334, Desejado: 1.0, Erro: 0.056785061
Padrão>> 55 - Calculado: 0.158660138, Desejado: 1.0, Erro: 0.353926382
Padrão>> 56 - Calculado: 0.191035696, Desejado: 0.0, Erro: 0.018247319
Padrão>> 57 - Calculado: 0.141654308, Desejado: 0.0, Erro: 0.010032972
Padrão>> 58 - Calculado: 0.211384986, Desejado: 0.0, Erro: 0.022341806
Padrão>> 59 - Calculado: 0.229011700, Desejado: 0.0, Erro: 0.026223179
Padrão>> 60 - Calculado: 0.986313730, Desejado: 1.0, Erro: 0.000093657
Padrão>> 61 - Calculado: 0.993402823, Desejado: 1.0, Erro: 0.000021761
Padrão>> 62 - Calculado: 0.146458012, Desejado: 0.0, Erro: 0.010724975
Padrão>> 63 - Calculado: 0.150690490, Desejado: 0.0, Erro: 0.011353812
Padrão>> 64 - Calculado: 0.979526537, Desejado: 1.0, Erro: 0.000209581
Padrão>> 65 - Calculado: 0.193148988, Desejado: 0.0, Erro: 0.018653266
Padrão>> 66 - Calculado: 0.138115264, Desejado: 0.0, Erro: 0.009537913
Padrão>> 67 - Calculado: 0.265267002, Desejado: 0.0, Erro: 0.035183291
Padrão>> 68 - Calculado: 0.727519108, Desejado: 1.0, Erro: 0.037122918
Padrão>> 69 - Calculado: 0.182441015, Desejado: 0.0, Erro: 0.016642362
Padrão>> 70 - Calculado: 0.918715070, Desejado: 1.0, Erro: 0.003303620
Padrão>> 71 - Calculado: 0.978571470, Desejado: 1.0, Erro: 0.000229591
Padrão>> 72 - Calculado: 0.121546702, Desejado: 0.0, Erro: 0.007386800
Padrão>> 73 - Calculado: 0.395264472, Desejado: 1.0, Erro: 0.182852529
Padrão>> 74 - Calculado: 0.097121813, Desejado: 1.0, Erro: 0.407594510
Padrão>> 75 - Calculado: 0.963575418, Desejado: 1.0, Erro: 0.000663375
Padrão>> 76 - Calculado: 0.134091147, Desejado: 0.0, Erro: 0.008990218
Padrão>> 77 - Calculado: 0.954913071, Desejado: 1.0, Erro: 0.001016416
Padrão>> 78 - Calculado: 0.144168937, Desejado: 0.0, Erro: 0.010392341
Padrão>> 79 - Calculado: 0.180271878, Desejado: 0.0, Erro: 0.016248975
Padrão>> 80 - Calculado: 0.123953643, Desejado: 0.0, Erro: 0.007682253
Padrão>> 81 - Calculado: 0.198721947, Desejado: 0.0, Erro: 0.019745206
Padrão>> 82 - Calculado: 0.081189160, Desejado: 1.0, Erro: 0.422106680
Padrão>> 83 - Calculado: 0.147816780, Desejado: 0.0, Erro: 0.010924900
Padrão>> 84 - Calculado: 0.206402744, Desejado: 0.0, Erro: 0.021301046
Padrão>> 85 - Calculado: 0.145215230, Desejado: 0.0, Erro: 0.010543732
Padrão>> 86 - Calculado: 0.481257389, Desejado: 0.0, Erro: 0.115804337
Padrão>> 87 - Calculado: 0.773969989, Desejado: 1.0, Erro: 0.025544783
Padrão>> 88 - Calculado: 0.975432863, Desejado: 1.0, Erro: 0.000301772
Padrão>> 89 - Calculado: 0.097652160, Desejado: 1.0, Erro: 0.407115812
Padrão>> 90 - Calculado: 0.963270447, Desejado: 1.0, Erro: 0.000674530
Padrão>> 91 - Calculado: 0.625520211, Desejado: 1.0, Erro: 0.070117556
Padrão>> 92 - Calculado: 0.939555538, Desejado: 1.0, Erro: 0.001826766
Padrão>> 93 - Calculado: 0.219332874, Desejado: 0.0, Erro: 0.024053455
Padrão>> 94 - Calculado: 0.920381359, Desejado: 1.0, Erro: 0.003169564
Padrão>> 95 - Calculado: 0.081530075, Desejado: 1.0, Erro: 0.421793501
Padrão>> 96 - Calculado: 0.287368882, Desejado: 0.0, Erro: 0.041290437
Padrão>> 97 - Calculado: 0.873730313, Desejado: 1.0, Erro: 0.007972017
Padrão>> 98 - Calculado: 0.580109105, Desejado: 1.0, Erro: 0.088154182
Padrão>> 99 - Calculado: 0.229350630, Desejado: 0.0, Erro: 0.026300856
Padrão>> 100 - Calculado: 0.318579301, Desejado: 1.0, Erro: 0.232167085
