Cenário experimental com 3 camadas: Skin_Segmentation_CV_D5-D2

Padrão>> 1 - Calculado: 0.955631641, Desejado: 1.0, Erro: 0.000984276
Padrão>> 2 - Calculado: 0.050520077, Desejado: 1.0, Erro: 0.450756062
Padrão>> 3 - Calculado: 0.121631570, Desejado: 0.0, Erro: 0.007397119
Padrão>> 4 - Calculado: 0.168226227, Desejado: 0.0, Erro: 0.014150032
Padrão>> 5 - Calculado: 0.065776103, Desejado: 1.0, Erro: 0.436387145
Padrão>> 6 - Calculado: 0.954983128, Desejado: 1.0, Erro: 0.001013259
Padrão>> 7 - Calculado: 0.380102654, Desejado: 0.0, Erro: 0.072239014
Padrão>> 8 - Calculado: 0.605145484, Desejado: 1.0, Erro: 0.077955044
Padrão>> 9 - Calculado: 0.464131688, Desejado: 1.0, Erro: 0.143577424
Padrão>> 10 - Calculado: 0.120198411, Desejado: 0.0, Erro: 0.007223829
Padrão>> 11 - Calculado: 0.151926344, Desejado: 0.0, Erro: 0.011540807
Padrão>> 12 - Calculado: 0.211854643, Desejado: 0.0, Erro: 0.022441195
Padrão>> 13 - Calculado: 0.935085764, Desejado: 1.0, Erro: 0.002106929
Padrão>> 14 - Calculado: 0.986934745, Desejado: 1.0, Erro: 0.000085350
Padrão>> 15 - Calculado: 0.487531543, Desejado: 0.0, Erro: 0.118843503
Padrão>> 16 - Calculado: 0.136594905, Desejado: 0.0, Erro: 0.009329084
Padrão>> 17 - Calculado: 0.049369583, Desejado: 1.0, Erro: 0.451849095
Padrão>> 18 - Calculado: 0.084379916, Desejado: 0.0, Erro: 0.003559985
Padrão>> 19 - Calculado: 0.125818573, Desejado: 0.0, Erro: 0.007915157
Padrão>> 20 - Calculado: 0.211942675, Desejado: 0.0, Erro: 0.022459849
Padrão>> 21 - Calculado: 0.099223043, Desejado: 0.0, Erro: 0.004922606
Padrão>> 22 - Calculado: 0.206772016, Desejado: 0.0, Erro: 0.021377333
Padrão>> 23 - Calculado: 0.993927060, Desejado: 1.0, Erro: 0.000018440
Padrão>> 24 - Calculado: 0.280505618, Desejado: 0.0, Erro: 0.039341701
Padrão>> 25 - Calculado: 0.567853483, Desejado: 1.0, Erro: 0.093375306
Padrão>> 26 - Calculado: 0.423603460, Desejado: 0.0, Erro: 0.089719946
Padrão>> 27 - Calculado: 0.529591181, Desejado: 1.0, Erro: 0.110642228
Padrão>> 28 - Calculado: 0.128590982, Desejado: 0.0, Erro: 0.008267820
Padrão>> 29 - Calculado: 0.198374806, Desejado: 0.0, Erro: 0.019676282
Padrão>> 30 - Calculado: 0.869914217, Desejado: 1.0, Erro: 0.008461155
Padrão>> 31 - Calculado: 0.052899586, Desejado: 1.0, Erro: 0.448499597
Padrão>> 32 - Calculado: 0.849458690, Desejado: 1.0, Erro: 0.011331343
Padrão>> 33 - Calculado: 0.130019555, Desejado: 0.0, Erro: 0.008452542
Padrão>> 34 - Calculado: 0.186757288, Desejado: 0.0, Erro: 0.017439142
Padrão>> 35 - Calculado: 0.141680159, Desejado: 0.0, Erro: 0.010036634
Padrão>> 36 - Calculado: 0.987307585, Desejado: 1.0, Erro: 0.000080549
Padrão>> 37 - Calculado: 0.106512803, Desejado: 0.0, Erro: 0.005672489
Padrão>> 38 - Calculado: 0.132043754, Desejado: 0.0, Erro: 0.008717777
Padrão>> 39 - Calculado: 0.172596258, Desejado: 0.0, Erro: 0.014894734
Padrão>> 40 - Calculado: 0.144731014, Desejado: 1.0, Erro: 0.365742519
Padrão>> 41 - Calculado: 0.092070165, Desejado: 0.0, Erro: 0.004238458
Padrão>> 42 - Calculado: 0.989191371, Desejado: 1.0, Erro: 0.000058413
Padrão>> 43 - Calculado: 0.987451995, Desejado: 1.0, Erro: 0.000078726
Padrão>> 44 - Calculado: 0.083726664, Desejado: 0.0, Erro: 0.003505077
Padrão>> 45 - Calculado: 0.147052778, Desejado: 0.0, Erro: 0.010812260
Padrão>> 46 - Calculado: 0.095611044, Desejado: 0.0, Erro: 0.004570736
Padrão>> 47 - Calculado: 0.165660661, Desejado: 0.0, Erro: 0.013721727
Padrão>> 48 - Calculado: 0.995695074, Desejado: 1.0, Erro: 0.000009266
Padrão>> 49 - Calculado: 0.197632316, Desejado: 0.0, Erro: 0.019529266
Padrão>> 50 - Calculado: 0.096253857, Desejado: 0.0, Erro: 0.004632402
Padrão>> 51 - Calculado: 0.746496490, Desejado: 1.0, Erro: 0.032132015
Padrão>> 52 - Calculado: 0.462945076, Desejado: 0.0, Erro: 0.107159071
