Cenário experimental com 3 camadas: Skin_Segmentation_HO

Padrão>> 1 - Calculado: 0.217642832, Desejado: 0.0, Erro: 0.023684201
Padrão>> 2 - Calculado: 0.498785443, Desejado: 1.0, Erro: 0.125608016
Padrão>> 3 - Calculado: 0.243689782, Desejado: 0.0, Erro: 0.029692355
Padrão>> 4 - Calculado: 0.178019564, Desejado: 0.0, Erro: 0.015845483
Padrão>> 5 - Calculado: 0.199187634, Desejado: 0.0, Erro: 0.019837857
Padrão>> 6 - Calculado: 0.127125518, Desejado: 0.0, Erro: 0.008080449
Padrão>> 7 - Calculado: 0.981385982, Desejado: 1.0, Erro: 0.000173241
Padrão>> 8 - Calculado: 0.412929966, Desejado: 1.0, Erro: 0.172325612
Padrão>> 9 - Calculado: 0.197005701, Desejado: 0.0, Erro: 0.019405623
Padrão>> 10 - Calculado: 0.096844115, Desejado: 1.0, Erro: 0.407845276
Padrão>> 11 - Calculado: 0.875867829, Desejado: 1.0, Erro: 0.007704398
Padrão>> 12 - Calculado: 0.869551425, Desejado: 1.0, Erro: 0.008508415
Padrão>> 13 - Calculado: 0.096490482, Desejado: 1.0, Erro: 0.408164725
Padrão>> 14 - Calculado: 0.984800778, Desejado: 1.0, Erro: 0.000115508
Padrão>> 15 - Calculado: 0.733443038, Desejado: 1.0, Erro: 0.035526307
Padrão>> 16 - Calculado: 0.214174871, Desejado: 0.0, Erro: 0.022935438
Padrão>> 17 - Calculado: 0.137794924, Desejado: 0.0, Erro: 0.009493721
Padrão>> 18 - Calculado: 0.155050395, Desejado: 0.0, Erro: 0.012020313
Padrão>> 19 - Calculado: 0.117447106, Desejado: 0.0, Erro: 0.006896911
Padrão>> 20 - Calculado: 0.442604293, Desejado: 0.0, Erro: 0.097949280
Padrão>> 21 - Calculado: 0.138610677, Desejado: 0.0, Erro: 0.009606460
Padrão>> 22 - Calculado: 0.489633595, Desejado: 0.0, Erro: 0.119870529
Padrão>> 23 - Calculado: 0.871663502, Desejado: 1.0, Erro: 0.008235128
Padrão>> 24 - Calculado: 0.131951496, Desejado: 0.0, Erro: 0.008705599
Padrão>> 25 - Calculado: 0.143783169, Desejado: 0.0, Erro: 0.010336800
Padrão>> 26 - Calculado: 0.150917521, Desejado: 0.0, Erro: 0.011388049
Padrão>> 27 - Calculado: 0.567806327, Desejado: 1.0, Erro: 0.093395686
Padrão>> 28 - Calculado: 0.135487608, Desejado: 0.0, Erro: 0.009178446
Padrão>> 29 - Calculado: 0.278657267, Desejado: 1.0, Erro: 0.260167670
Padrão>> 30 - Calculado: 0.141022643, Desejado: 0.0, Erro: 0.009943693
Padrão>> 31 - Calculado: 0.356102992, Desejado: 0.0, Erro: 0.063404670
Padrão>> 32 - Calculado: 0.155511269, Desejado: 0.0, Erro: 0.012091877
Padrão>> 33 - Calculado: 0.982614365, Desejado: 1.0, Erro: 0.000151130
Padrão>> 34 - Calculado: 0.346638579, Desejado: 0.0, Erro: 0.060079152
Padrão>> 35 - Calculado: 0.154519568, Desejado: 0.0, Erro: 0.011938148
Padrão>> 36 - Calculado: 0.904028456, Desejado: 1.0, Erro: 0.004605269
Padrão>> 37 - Calculado: 0.912446610, Desejado: 1.0, Erro: 0.003832798
Padrão>> 38 - Calculado: 0.127017158, Desejado: 0.0, Erro: 0.008066679
Padrão>> 39 - Calculado: 0.315687700, Desejado: 0.0, Erro: 0.049829362
Padrão>> 40 - Calculado: 0.978729070, Desejado: 1.0, Erro: 0.000226226
Padrão>> 41 - Calculado: 0.744354302, Desejado: 1.0, Erro: 0.032677361
Padrão>> 42 - Calculado: 0.136124677, Desejado: 0.0, Erro: 0.009264964
Padrão>> 43 - Calculado: 0.137099648, Desejado: 0.0, Erro: 0.009398157
Padrão>> 44 - Calculado: 0.429839194, Desejado: 0.0, Erro: 0.092380866
Padrão>> 45 - Calculado: 0.977307591, Desejado: 1.0, Erro: 0.000257473
Padrão>> 46 - Calculado: 0.146107082, Desejado: 0.0, Erro: 0.010673640
Padrão>> 47 - Calculado: 0.144784582, Desejado: 0.0, Erro: 0.010481288
Padrão>> 48 - Calculado: 0.730924438, Desejado: 1.0, Erro: 0.036200829
Padrão>> 49 - Calculado: 0.189671587, Desejado: 0.0, Erro: 0.017987655
Padrão>> 50 - Calculado: 0.276286394, Desejado: 0.0, Erro: 0.038167086
Padrão>> 51 - Calculado: 0.293052293, Desejado: 0.0, Erro: 0.042939823
Padrão>> 52 - Calculado: 0.986707501, Desejado: 1.0, Erro: 0.000088345
Padrão>> 53 - Calculado: 0.091667587, Desejado: 1.0, Erro: 0.412533886
Padrão>> 54 - Calculado: 0.193346471, Desejado: 0.0, Erro: 0.018691429
Padrão>> 55 - Calculado: 0.189805688, Desejado: 0.0, Erro: 0.018013100
Padrão>> 56 - Calculado: 0.851409243, Desejado: 1.0, Erro: 0.011039607
Padrão>> 57 - Calculado: 0.963016600, Desejado: 1.0, Erro: 0.000683886
Padrão>> 58 - Calculado: 0.995833670, Desejado: 1.0, Erro: 0.000008679
Padrão>> 59 - Calculado: 0.911273819, Desejado: 1.0, Erro: 0.003936168
Padrão>> 60 - Calculado: 0.982314635, Desejado: 1.0, Erro: 0.000156386
Padrão>> 61 - Calculado: 0.421278635, Desejado: 0.0, Erro: 0.088737844
Padrão>> 62 - Calculado: 0.975287472, Desejado: 1.0, Erro: 0.000305355
Padrão>> 63 - Calculado: 0.416243994, Desejado: 0.0, Erro: 0.086629531
Padrão>> 64 - Calculado: 0.187046075, Desejado: 0.0, Erro: 0.017493117
Padrão>> 65 - Calculado: 0.373196595, Desejado: 1.0, Erro: 0.196441255
Padrão>> 66 - Calculado: 0.198386376, Desejado: 0.0, Erro: 0.019678577
Padrão>> 67 - Calculado: 0.826280742, Desejado: 1.0, Erro: 0.015089190
Padrão>> 68 - Calculado: 0.132165946, Desejado: 0.0, Erro: 0.008733919
Padrão>> 69 - Calculado: 0.146731571, Desejado: 0.0, Erro: 0.010765077
Padrão>> 70 - Calculado: 0.168758624, Desejado: 0.0, Erro: 0.014239737
Padrão>> 71 - Calculado: 0.206930470, Desejado: 1.0, Erro: 0.314479640
Padrão>> 72 - Calculado: 0.995745894, Desejado: 1.0, Erro: 0.000009049
Padrão>> 73 - Calculado: 0.995750714, Desejado: 1.0, Erro: 0.000009028
Padrão>> 74 - Calculado: 0.958305183, Desejado: 1.0, Erro: 0.000869229
Padrão>> 75 - Calculado: 0.089260095, Desejado: 1.0, Erro: 0.414723588
Padrão>> 76 - Calculado: 0.171649230, Desejado: 0.0, Erro: 0.014731729
Padrão>> 77 - Calculado: 0.202441079, Desejado: 1.0, Erro: 0.318050116
Padrão>> 78 - Calculado: 0.935625599, Desejado: 1.0, Erro: 0.002072032
Padrão>> 79 - Calculado: 0.983716271, Desejado: 1.0, Erro: 0.000132580
Padrão>> 80 - Calculado: 0.145841774, Desejado: 0.0, Erro: 0.010634911
Padrão>> 81 - Calculado: 0.102646431, Desejado: 1.0, Erro: 0.402621714
Padrão>> 82 - Calculado: 0.937781783, Desejado: 1.0, Erro: 0.001935553
Padrão>> 83 - Calculado: 0.125963479, Desejado: 0.0, Erro: 0.007933399
Padrão>> 84 - Calculado: 0.116685861, Desejado: 0.0, Erro: 0.006807795
Padrão>> 85 - Calculado: 0.173049406, Desejado: 0.0, Erro: 0.014973049
Padrão>> 86 - Calculado: 0.807816464, Desejado: 1.0, Erro: 0.018467256
Padrão>> 87 - Calculado: 0.152948848, Desejado: 0.0, Erro: 0.011696675
Padrão>> 88 - Calculado: 0.097367393, Desejado: 1.0, Erro: 0.407372812
Padrão>> 89 - Calculado: 0.946625240, Desejado: 1.0, Erro: 0.001424433
Padrão>> 90 - Calculado: 0.373635896, Desejado: 1.0, Erro: 0.196165995
Padrão>> 91 - Calculado: 0.998087963, Desejado: 1.0, Erro: 0.000001828
Padrão>> 92 - Calculado: 0.688768269, Desejado: 1.0, Erro: 0.048432595
Padrão>> 93 - Calculado: 0.951079240, Desejado: 1.0, Erro: 0.001196620
Padrão>> 94 - Calculado: 0.230288220, Desejado: 0.0, Erro: 0.026516332
Padrão>> 95 - Calculado: 0.141015401, Desejado: 0.0, Erro: 0.009942672
Padrão>> 96 - Calculado: 0.130768137, Desejado: 1.0, Erro: 0.377782016
Padrão>> 97 - Calculado: 0.995207575, Desejado: 1.0, Erro: 0.000011484
Padrão>> 98 - Calculado: 0.134755327, Desejado: 0.0, Erro: 0.009079499
Padrão>> 99 - Calculado: 0.981624810, Desejado: 1.0, Erro: 0.000168824
Padrão>> 100 - Calculado: 0.873529678, Desejado: 1.0, Erro: 0.007997371
Padrão>> 101 - Calculado: 0.124727641, Desejado: 0.0, Erro: 0.007778492
Padrão>> 102 - Calculado: 0.222102019, Desejado: 0.0, Erro: 0.024664653
Padrão>> 103 - Calculado: 0.218444422, Desejado: 0.0, Erro: 0.023858983
Padrão>> 104 - Calculado: 0.779817157, Desejado: 1.0, Erro: 0.024240242
Padrão>> 105 - Calculado: 0.120555145, Desejado: 0.0, Erro: 0.007266771
Padrão>> 106 - Calculado: 0.171994515, Desejado: 0.0, Erro: 0.014791057
Padrão>> 107 - Calculado: 0.855332356, Desejado: 1.0, Erro: 0.010464364
Padrão>> 108 - Calculado: 0.983006499, Desejado: 1.0, Erro: 0.000144390
Padrão>> 109 - Calculado: 0.138310892, Desejado: 0.0, Erro: 0.009564951
Padrão>> 110 - Calculado: 0.899315153, Desejado: 1.0, Erro: 0.005068719
Padrão>> 111 - Calculado: 0.113170464, Desejado: 0.0, Erro: 0.006403777
Padrão>> 112 - Calculado: 0.981553804, Desejado: 1.0, Erro: 0.000170131
Padrão>> 113 - Calculado: 0.206781654, Desejado: 0.0, Erro: 0.021379326
Padrão>> 114 - Calculado: 0.941870874, Desejado: 1.0, Erro: 0.001689498
Padrão>> 115 - Calculado: 0.108071420, Desejado: 1.0, Erro: 0.397768296
Padrão>> 116 - Calculado: 0.090616976, Desejado: 1.0, Erro: 0.413488742
Padrão>> 117 - Calculado: 0.159503853, Desejado: 0.0, Erro: 0.012720740
Padrão>> 118 - Calculado: 0.982612837, Desejado: 1.0, Erro: 0.000151157
Padrão>> 119 - Calculado: 0.177438798, Desejado: 0.0, Erro: 0.015742264
Padrão>> 120 - Calculado: 0.267094136, Desejado: 0.0, Erro: 0.035669639
Padrão>> 121 - Calculado: 0.205830911, Desejado: 0.0, Erro: 0.021183182
Padrão>> 122 - Calculado: 0.184049426, Desejado: 0.0, Erro: 0.016937096
Padrão>> 123 - Calculado: 0.211995939, Desejado: 0.0, Erro: 0.022471139
Padrão>> 124 - Calculado: 0.954825913, Desejado: 1.0, Erro: 0.001020349
Padrão>> 125 - Calculado: 0.949424563, Desejado: 1.0, Erro: 0.001278937
Padrão>> 126 - Calculado: 0.120314566, Desejado: 0.0, Erro: 0.007237797
Padrão>> 127 - Calculado: 0.988390671, Desejado: 1.0, Erro: 0.000067388
Padrão>> 128 - Calculado: 0.536661086, Desejado: 0.0, Erro: 0.144002561
Padrão>> 129 - Calculado: 0.217467849, Desejado: 1.0, Erro: 0.306178283
Padrão>> 130 - Calculado: 0.191188347, Desejado: 0.0, Erro: 0.018276492
Padrão>> 131 - Calculado: 0.266356826, Desejado: 0.0, Erro: 0.035472979
Padrão>> 132 - Calculado: 0.373730300, Desejado: 1.0, Erro: 0.196106869
Padrão>> 133 - Calculado: 0.173413081, Desejado: 0.0, Erro: 0.015036048
Padrão>> 134 - Calculado: 0.095684206, Desejado: 1.0, Erro: 0.408893527
Padrão>> 135 - Calculado: 0.146597869, Desejado: 0.0, Erro: 0.010745468
Padrão>> 136 - Calculado: 0.222255373, Desejado: 0.0, Erro: 0.024698726
Padrão>> 137 - Calculado: 0.855459322, Desejado: 1.0, Erro: 0.010446004
Padrão>> 138 - Calculado: 0.106385769, Desejado: 1.0, Erro: 0.399273197
Padrão>> 139 - Calculado: 0.886387192, Desejado: 1.0, Erro: 0.006453935
Padrão>> 140 - Calculado: 0.234730696, Desejado: 0.0, Erro: 0.027549250
Padrão>> 141 - Calculado: 0.207984177, Desejado: 0.0, Erro: 0.021628709
Padrão>> 142 - Calculado: 0.200415055, Desejado: 0.0, Erro: 0.020083097
Padrão>> 143 - Calculado: 0.987869176, Desejado: 1.0, Erro: 0.000073578
Padrão>> 144 - Calculado: 0.176997442, Desejado: 0.0, Erro: 0.015664047
Padrão>> 145 - Calculado: 0.982739752, Desejado: 1.0, Erro: 0.000148958
Padrão>> 146 - Calculado: 0.202940933, Desejado: 0.0, Erro: 0.020592511
Padrão>> 147 - Calculado: 0.590089992, Desejado: 1.0, Erro: 0.084013107
Padrão>> 148 - Calculado: 0.427413768, Desejado: 0.0, Erro: 0.091341264
Padrão>> 149 - Calculado: 0.251904348, Desejado: 0.0, Erro: 0.031727900
Padrão>> 150 - Calculado: 0.420416574, Desejado: 1.0, Erro: 0.167958474
Padrão>> 151 - Calculado: 0.964877442, Desejado: 1.0, Erro: 0.000616797
Padrão>> 152 - Calculado: 0.925589332, Desejado: 1.0, Erro: 0.002768474
Padrão>> 153 - Calculado: 0.229313629, Desejado: 0.0, Erro: 0.026292370
Padrão>> 154 - Calculado: 0.930107599, Desejado: 1.0, Erro: 0.002442474
Padrão>> 155 - Calculado: 0.966042270, Desejado: 1.0, Erro: 0.000576564
Padrão>> 156 - Calculado: 0.235608107, Desejado: 0.0, Erro: 0.027755590
Padrão>> 157 - Calculado: 0.144606161, Desejado: 0.0, Erro: 0.010455471
Padrão>> 158 - Calculado: 0.413426738, Desejado: 0.0, Erro: 0.085460834
Padrão>> 159 - Calculado: 0.561182536, Desejado: 1.0, Erro: 0.096280383
Padrão>> 160 - Calculado: 0.193517018, Desejado: 0.0, Erro: 0.018724418
Padrão>> 161 - Calculado: 0.973848747, Desejado: 1.0, Erro: 0.000341944
Padrão>> 162 - Calculado: 0.955558408, Desejado: 1.0, Erro: 0.000987528
Padrão>> 163 - Calculado: 0.932339388, Desejado: 1.0, Erro: 0.002288979
Padrão>> 164 - Calculado: 0.587579405, Desejado: 1.0, Erro: 0.085045373
Padrão>> 165 - Calculado: 0.144362363, Desejado: 0.0, Erro: 0.010420246
Padrão>> 166 - Calculado: 0.425770997, Desejado: 0.0, Erro: 0.090640471
Padrão>> 167 - Calculado: 0.962677132, Desejado: 1.0, Erro: 0.000696498
Padrão>> 168 - Calculado: 0.241412015, Desejado: 0.0, Erro: 0.029139880
Padrão>> 169 - Calculado: 0.252413536, Desejado: 0.0, Erro: 0.031856296
Padrão>> 170 - Calculado: 0.380404210, Desejado: 0.0, Erro: 0.072353681
Padrão>> 171 - Calculado: 0.362480734, Desejado: 0.0, Erro: 0.065696141
Padrão>> 172 - Calculado: 0.107815414, Desejado: 1.0, Erro: 0.397996667
Padrão>> 173 - Calculado: 0.117541111, Desejado: 0.0, Erro: 0.006907956
Padrão>> 174 - Calculado: 0.846818765, Desejado: 1.0, Erro: 0.011732245
Padrão>> 175 - Calculado: 0.160364524, Desejado: 0.0, Erro: 0.012858390
Padrão>> 176 - Calculado: 0.958595667, Desejado: 1.0, Erro: 0.000857159
Padrão>> 177 - Calculado: 0.183184040, Desejado: 0.0, Erro: 0.016778196
Padrão>> 178 - Calculado: 0.110627584, Desejado: 0.0, Erro: 0.006119231
