Cenário experimental com 4 camadas: Skin_Segmentation_CV_D5-D1

Padrão>> 1 - Calculado: 0.061008741, Desejado: 0.0, Erro: 0.001861033
Padrão>> 2 - Calculado: 0.975391283, Desejado: 1.0, Erro: 0.000302794
Padrão>> 3 - Calculado: 0.055579237, Desejado: 0.0, Erro: 0.001544526
Padrão>> 4 - Calculado: 0.054385598, Desejado: 0.0, Erro: 0.001478897
Padrão>> 5 - Calculado: 0.939346235, Desejado: 1.0, Erro: 0.001839440
Padrão>> 6 - Calculado: 0.054699527, Desejado: 0.0, Erro: 0.001496019
Padrão>> 7 - Calculado: 0.083433647, Desejado: 0.0, Erro: 0.003480587
Padrão>> 8 - Calculado: 0.068307864, Desejado: 0.0, Erro: 0.002332982
Padrão>> 9 - Calculado: 0.932882344, Desejado: 1.0, Erro: 0.002252390
Padrão>> 10 - Calculado: 0.143136442, Desejado: 1.0, Erro: 0.367107579
Padrão>> 11 - Calculado: 0.986576418, Desejado: 1.0, Erro: 0.000090096
Padrão>> 12 - Calculado: 0.069780067, Desejado: 1.0, Erro: 0.432654562
Padrão>> 13 - Calculado: 0.984807711, Desejado: 1.0, Erro: 0.000115403
Padrão>> 14 - Calculado: 0.066368589, Desejado: 0.0, Erro: 0.002202395
Padrão>> 15 - Calculado: 0.056441359, Desejado: 0.0, Erro: 0.001592813
Padrão>> 16 - Calculado: 0.989715436, Desejado: 1.0, Erro: 0.000052886
Padrão>> 17 - Calculado: 0.163844075, Desejado: 0.0, Erro: 0.013422440
Padrão>> 18 - Calculado: 0.487900172, Desejado: 1.0, Erro: 0.131123117
Padrão>> 19 - Calculado: 0.872595417, Desejado: 1.0, Erro: 0.008115964
Padrão>> 20 - Calculado: 0.055081256, Desejado: 0.0, Erro: 0.001516972
Padrão>> 21 - Calculado: 0.952961675, Desejado: 1.0, Erro: 0.001106302
Padrão>> 22 - Calculado: 0.258758962, Desejado: 1.0, Erro: 0.274719138
Padrão>> 23 - Calculado: 0.990021723, Desejado: 1.0, Erro: 0.000049783
Padrão>> 24 - Calculado: 0.985829696, Desejado: 1.0, Erro: 0.000100399
Padrão>> 25 - Calculado: 0.986739333, Desejado: 1.0, Erro: 0.000087923
Padrão>> 26 - Calculado: 0.969346052, Desejado: 1.0, Erro: 0.000469832
Padrão>> 27 - Calculado: 0.946988026, Desejado: 1.0, Erro: 0.001405135
Padrão>> 28 - Calculado: 0.080350062, Desejado: 0.0, Erro: 0.003228066
Padrão>> 29 - Calculado: 0.809946806, Desejado: 1.0, Erro: 0.018060108
Padrão>> 30 - Calculado: 0.950467594, Desejado: 1.0, Erro: 0.001226730
Padrão>> 31 - Calculado: 0.061870521, Desejado: 0.0, Erro: 0.001913981
Padrão>> 32 - Calculado: 0.073965419, Desejado: 1.0, Erro: 0.428770022
Padrão>> 33 - Calculado: 0.056319517, Desejado: 0.0, Erro: 0.001585944
Padrão>> 34 - Calculado: 0.952756608, Desejado: 1.0, Erro: 0.001115969
Padrão>> 35 - Calculado: 0.982191366, Desejado: 1.0, Erro: 0.000158574
Padrão>> 36 - Calculado: 0.097220963, Desejado: 1.0, Erro: 0.407504995
Padrão>> 37 - Calculado: 0.140966986, Desejado: 1.0, Erro: 0.368968860
Padrão>> 38 - Calculado: 0.060801560, Desejado: 1.0, Erro: 0.441046854
Padrão>> 39 - Calculado: 0.957519643, Desejado: 1.0, Erro: 0.000902290
Padrão>> 40 - Calculado: 0.979212337, Desejado: 1.0, Erro: 0.000216063
Padrão>> 41 - Calculado: 0.729867554, Desejado: 1.0, Erro: 0.036485769
Padrão>> 42 - Calculado: 0.099621493, Desejado: 0.0, Erro: 0.004962221
Padrão>> 43 - Calculado: 0.068778301, Desejado: 1.0, Erro: 0.433586927
Padrão>> 44 - Calculado: 0.093654714, Desejado: 0.0, Erro: 0.004385603
Padrão>> 45 - Calculado: 0.980445950, Desejado: 1.0, Erro: 0.000191180
Padrão>> 46 - Calculado: 0.105691715, Desejado: 0.0, Erro: 0.005585369
Padrão>> 47 - Calculado: 0.989910305, Desejado: 1.0, Erro: 0.000050901
Padrão>> 48 - Calculado: 0.986791936, Desejado: 1.0, Erro: 0.000087226
Padrão>> 49 - Calculado: 0.989239400, Desejado: 1.0, Erro: 0.000057895
Padrão>> 50 - Calculado: 0.980744969, Desejado: 1.0, Erro: 0.000185378
Padrão>> 51 - Calculado: 0.985309681, Desejado: 1.0, Erro: 0.000107903
Padrão>> 52 - Calculado: 0.106458342, Desejado: 0.0, Erro: 0.005666689
Padrão>> 53 - Calculado: 0.287358159, Desejado: 1.0, Erro: 0.253929197
Padrão>> 54 - Calculado: 0.986386044, Desejado: 1.0, Erro: 0.000092670
Padrão>> 55 - Calculado: 0.090023912, Desejado: 0.0, Erro: 0.004052152
Padrão>> 56 - Calculado: 0.155840952, Desejado: 1.0, Erro: 0.356302249
Padrão>> 57 - Calculado: 0.063701790, Desejado: 0.0, Erro: 0.002028959
Padrão>> 58 - Calculado: 0.103211955, Desejado: 0.0, Erro: 0.005326354
Padrão>> 59 - Calculado: 0.463538490, Desejado: 1.0, Erro: 0.143895476
Padrão>> 60 - Calculado: 0.111671294, Desejado: 0.0, Erro: 0.006235239
Padrão>> 61 - Calculado: 0.247688666, Desejado: 0.0, Erro: 0.030674838
Padrão>> 62 - Calculado: 0.984360462, Desejado: 1.0, Erro: 0.000122298
Padrão>> 63 - Calculado: 0.984433642, Desejado: 1.0, Erro: 0.000121156
Padrão>> 64 - Calculado: 0.058123952, Desejado: 1.0, Erro: 0.443565245
Padrão>> 65 - Calculado: 0.976443774, Desejado: 1.0, Erro: 0.000277448
Padrão>> 66 - Calculado: 0.928273011, Desejado: 1.0, Erro: 0.002572380
Padrão>> 67 - Calculado: 0.986085775, Desejado: 1.0, Erro: 0.000096803
Padrão>> 68 - Calculado: 0.059323091, Desejado: 0.0, Erro: 0.001759615
Padrão>> 69 - Calculado: 0.054726204, Desejado: 0.0, Erro: 0.001497479
Padrão>> 70 - Calculado: 0.985590595, Desejado: 1.0, Erro: 0.000103815
Padrão>> 71 - Calculado: 0.061576328, Desejado: 0.0, Erro: 0.001895822
Padrão>> 72 - Calculado: 0.218956078, Desejado: 0.0, Erro: 0.023970882
Padrão>> 73 - Calculado: 0.057435473, Desejado: 0.0, Erro: 0.001649417
Padrão>> 74 - Calculado: 0.973107035, Desejado: 1.0, Erro: 0.000361616
Padrão>> 75 - Calculado: 0.122160048, Desejado: 1.0, Erro: 0.385301490
Padrão>> 76 - Calculado: 0.061852968, Desejado: 0.0, Erro: 0.001912895
Padrão>> 77 - Calculado: 0.976508029, Desejado: 1.0, Erro: 0.000275936
Padrão>> 78 - Calculado: 0.063541661, Desejado: 0.0, Erro: 0.002018771
Padrão>> 79 - Calculado: 0.220387341, Desejado: 0.0, Erro: 0.024285290
Padrão>> 80 - Calculado: 0.507631947, Desejado: 0.0, Erro: 0.128845097
Padrão>> 81 - Calculado: 0.954587025, Desejado: 1.0, Erro: 0.001031169
Padrão>> 82 - Calculado: 0.960906332, Desejado: 1.0, Erro: 0.000764157
Padrão>> 83 - Calculado: 0.862399231, Desejado: 1.0, Erro: 0.009466986
Padrão>> 84 - Calculado: 0.979644568, Desejado: 1.0, Erro: 0.000207172
Padrão>> 85 - Calculado: 0.981402484, Desejado: 1.0, Erro: 0.000172934
Padrão>> 86 - Calculado: 0.056885884, Desejado: 0.0, Erro: 0.001618002
Padrão>> 87 - Calculado: 0.120004077, Desejado: 0.0, Erro: 0.007200489
Padrão>> 88 - Calculado: 0.086406259, Desejado: 0.0, Erro: 0.003733021
Padrão>> 89 - Calculado: 0.289318159, Desejado: 1.0, Erro: 0.252534339
Padrão>> 90 - Calculado: 0.678681776, Desejado: 1.0, Erro: 0.051622700
Padrão>> 91 - Calculado: 0.307315731, Desejado: 1.0, Erro: 0.239905748
Padrão>> 92 - Calculado: 0.056116028, Desejado: 0.0, Erro: 0.001574504
Padrão>> 93 - Calculado: 0.163551718, Desejado: 1.0, Erro: 0.349822864
Padrão>> 94 - Calculado: 0.070349999, Desejado: 0.0, Erro: 0.002474561
Padrão>> 95 - Calculado: 0.409090368, Desejado: 1.0, Erro: 0.174587097
Padrão>> 96 - Calculado: 0.056017078, Desejado: 0.0, Erro: 0.001568957
Padrão>> 97 - Calculado: 0.969186709, Desejado: 1.0, Erro: 0.000474729
