Cenário experimental com 4 camadas: Skin_Segmentation_CV_D4-D3

Padrão>> 1 - Calculado: 0.113587231, Desejado: 0.0, Erro: 0.006451030
Padrão>> 2 - Calculado: 0.083248369, Desejado: 0.0, Erro: 0.003465145
Padrão>> 3 - Calculado: 0.985748562, Desejado: 1.0, Erro: 0.000101552
Padrão>> 4 - Calculado: 0.979834222, Desejado: 1.0, Erro: 0.000203329
Padrão>> 5 - Calculado: 0.988344705, Desejado: 1.0, Erro: 0.000067923
Padrão>> 6 - Calculado: 0.955247020, Desejado: 1.0, Erro: 0.001001415
Padrão>> 7 - Calculado: 0.988440350, Desejado: 1.0, Erro: 0.000066813
Padrão>> 8 - Calculado: 0.948242977, Desejado: 1.0, Erro: 0.001339395
Padrão>> 9 - Calculado: 0.192123540, Desejado: 0.0, Erro: 0.018455727
Padrão>> 10 - Calculado: 0.420133823, Desejado: 1.0, Erro: 0.168122392
Padrão>> 11 - Calculado: 0.979733743, Desejado: 1.0, Erro: 0.000205361
Padrão>> 12 - Calculado: 0.259793344, Desejado: 0.0, Erro: 0.033746291
Padrão>> 13 - Calculado: 0.974572177, Desejado: 1.0, Erro: 0.000323287
Padrão>> 14 - Calculado: 0.316054572, Desejado: 1.0, Erro: 0.233890674
Padrão>> 15 - Calculado: 0.078657379, Desejado: 0.0, Erro: 0.003093492
Padrão>> 16 - Calculado: 0.980933250, Desejado: 1.0, Erro: 0.000181770
Padrão>> 17 - Calculado: 0.096474331, Desejado: 0.0, Erro: 0.004653648
Padrão>> 18 - Calculado: 0.154721288, Desejado: 0.0, Erro: 0.011969339
Padrão>> 19 - Calculado: 0.984457688, Desejado: 1.0, Erro: 0.000120782
Padrão>> 20 - Calculado: 0.118763325, Desejado: 1.0, Erro: 0.388289039
Padrão>> 21 - Calculado: 0.079144222, Desejado: 0.0, Erro: 0.003131904
Padrão>> 22 - Calculado: 0.193202692, Desejado: 0.0, Erro: 0.018663640
Padrão>> 23 - Calculado: 0.098661097, Desejado: 0.0, Erro: 0.004867006
Padrão>> 24 - Calculado: 0.209604819, Desejado: 0.0, Erro: 0.021967090
Padrão>> 25 - Calculado: 0.984553370, Desejado: 1.0, Erro: 0.000119299
Padrão>> 26 - Calculado: 0.196954102, Desejado: 0.0, Erro: 0.019395459
Padrão>> 27 - Calculado: 0.128511287, Desejado: 1.0, Erro: 0.379746289
Padrão>> 28 - Calculado: 0.098487661, Desejado: 0.0, Erro: 0.004849910
Padrão>> 29 - Calculado: 0.082138785, Desejado: 0.0, Erro: 0.003373390
