Cenário experimental com 4 camadas: Skin_Segmentation_CV_D5-D3

Padrão>> 1 - Calculado: 0.078482099, Desejado: 0.0, Erro: 0.003079720
Padrão>> 2 - Calculado: 0.058958292, Desejado: 0.0, Erro: 0.001738040
Padrão>> 3 - Calculado: 0.983595190, Desejado: 1.0, Erro: 0.000134559
Padrão>> 4 - Calculado: 0.968220612, Desejado: 1.0, Erro: 0.000504965
Padrão>> 5 - Calculado: 0.989536387, Desejado: 1.0, Erro: 0.000054744
Padrão>> 6 - Calculado: 0.964422930, Desejado: 1.0, Erro: 0.000632864
Padrão>> 7 - Calculado: 0.989689320, Desejado: 1.0, Erro: 0.000053155
Padrão>> 8 - Calculado: 0.814302660, Desejado: 1.0, Erro: 0.017241751
Padrão>> 9 - Calculado: 0.149166948, Desejado: 0.0, Erro: 0.011125389
Padrão>> 10 - Calculado: 0.367401432, Desejado: 1.0, Erro: 0.200090474
Padrão>> 11 - Calculado: 0.960192262, Desejado: 1.0, Erro: 0.000792328
Padrão>> 12 - Calculado: 0.215813685, Desejado: 0.0, Erro: 0.023287773
Padrão>> 13 - Calculado: 0.949742543, Desejado: 1.0, Erro: 0.001262906
Padrão>> 14 - Calculado: 0.238838967, Desejado: 1.0, Erro: 0.289683059
Padrão>> 15 - Calculado: 0.053638433, Desejado: 0.0, Erro: 0.001438541
Padrão>> 16 - Calculado: 0.965166880, Desejado: 1.0, Erro: 0.000606673
Padrão>> 17 - Calculado: 0.063225192, Desejado: 0.0, Erro: 0.001998712
Padrão>> 18 - Calculado: 0.073493386, Desejado: 0.0, Erro: 0.002700639
Padrão>> 19 - Calculado: 0.978517241, Desejado: 1.0, Erro: 0.000230754
Padrão>> 20 - Calculado: 0.083256017, Desejado: 1.0, Erro: 0.420209765
Padrão>> 21 - Calculado: 0.053820620, Desejado: 0.0, Erro: 0.001448330
Padrão>> 22 - Calculado: 0.149943690, Desejado: 0.0, Erro: 0.011241555
Padrão>> 23 - Calculado: 0.070536439, Desejado: 0.0, Erro: 0.002487695
Padrão>> 24 - Calculado: 0.164344793, Desejado: 0.0, Erro: 0.013504605
Padrão>> 25 - Calculado: 0.975238853, Desejado: 1.0, Erro: 0.000306557
Padrão>> 26 - Calculado: 0.161296061, Desejado: 0.0, Erro: 0.013008210
Padrão>> 27 - Calculado: 0.086699848, Desejado: 1.0, Erro: 0.417058584
Padrão>> 28 - Calculado: 0.067785908, Desejado: 0.0, Erro: 0.002297465
Padrão>> 29 - Calculado: 0.054011650, Desejado: 0.0, Erro: 0.001458629
